title,description,publishedAt,url,source
Tech Mahindra and AWS collaborate to integrate GenAI into telecom networks,Tech Mahindra - AWS collaboration to help customers transition network operations from an on-premises infrastructure to a real-time preventive model operating on a hybrid cloud,2024-11-27T09:18:59Z,https://www.thehindubusinessline.com/info-tech/tech-mahindra-and-aws-collaborate-to-integrate-genai-into-telecom-networks/article68917948.ece,"{'id': None, 'name': 'BusinessLine'}"
"HashiCorp, Inc. (NASDAQ:HCP) CTO Armon Dadgar Sells 35,903 Shares","HashiCorp, Inc. (NASDAQ:HCP – Get Free Report) CTO Armon Dadgar sold 35,903 shares of the company’s stock in a transaction that occurred on Friday, November 22nd. The shares were sold at an average price of $33.90, for a total value of $1,217,111.70. Followin…",2024-11-27T09:18:55Z,https://www.etfdailynews.com/2024/11/27/hashicorp-inc-nasdaqhcp-cto-armon-dadgar-sells-35903-shares/,"{'id': None, 'name': 'ETF Daily News'}"
"AMETEK, Inc. (NYSE:AME) Insider Sells $3,193,532.10 in Stock","AMETEK, Inc. (NYSE:AME – Get Free Report) insider Tony J. Ciampitti sold 16,210 shares of the firm’s stock in a transaction dated Friday, November 22nd. The shares were sold at an average price of $197.01, for a total value of $3,193,532.10. Following the com…",2024-11-27T09:18:54Z,https://www.etfdailynews.com/2024/11/27/ametek-inc-nyseame-insider-sells-3193532-10-in-stock/,"{'id': None, 'name': 'ETF Daily News'}"
"Great Valley Advisor Group Inc. Sells 436 Shares of PayPal Holdings, Inc. (NASDAQ:PYPL)","Great Valley Advisor Group Inc. lowered its stake in PayPal Holdings, Inc. (NASDAQ:PYPL – Free Report) by 5.6% during the third quarter, according to the company in its most recent filing with the SEC. The fund owned 7,303 shares of the credit services provid…",2024-11-27T09:18:54Z,https://www.etfdailynews.com/2024/11/27/great-valley-advisor-group-inc-sells-436-shares-of-paypal-holdings-inc-nasdaqpypl/,"{'id': None, 'name': 'ETF Daily News'}"
SPDR NYSE Technology ETF (NYSEARCA:XNTK) Position Boosted by Great Valley Advisor Group Inc.,"Great Valley Advisor Group Inc. boosted its holdings in SPDR NYSE Technology ETF (NYSEARCA:XNTK – Free Report) by 16.7% during the 3rd quarter, according to the company in its most recent filing with the Securities and Exchange Commission (SEC). The firm owne…",2024-11-27T09:18:52Z,https://www.etfdailynews.com/2024/11/27/spdr-nyse-technology-etf-nysearcaxntk-position-boosted-by-great-valley-advisor-group-inc/,"{'id': None, 'name': 'ETF Daily News'}"
"Innodata Inc. (NASDAQ:INOD) CEO Jack Abuhoff Sells 187,099 Shares","Innodata Inc. (NASDAQ:INOD – Get Free Report) CEO Jack Abuhoff sold 187,099 shares of Innodata stock in a transaction dated Monday, November 25th. The stock was sold at an average price of $46.07, for a total value of $8,619,650.93. Following the completion o…",2024-11-27T09:14:58Z,https://www.etfdailynews.com/2024/11/27/innodata-inc-nasdaqinod-ceo-jack-abuhoff-sells-187099-shares/,"{'id': None, 'name': 'ETF Daily News'}"
"Samaana calls Mahayuti victory 'lucky draw', says 'EVM hai toh mumkin hai'","Shiv Sena (UBT) questions the Maharashtra election results, citing suspicions surrounding EVMs. The party's mouthpiece, 'Saamana', highlights the speed of vote counting, referencing Elon Musk's past comments on EVM hackability. They point to alleged discrepan…",2024-11-27T09:14:58Z,https://economictimes.indiatimes.com/news/politics-and-nation/samaana-calls-mahayuti-victory-lucky-draw-says-evm-hai-toh-mumkin-hai/articleshow/115728553.cms,"{'id': 'the-times-of-india', 'name': 'The Times of India'}"
Intech Investment Management LLC Reduces Holdings in Stryker Co. (NYSE:SYK),"Intech Investment Management LLC reduced its stake in Stryker Co. (NYSE:SYK – Free Report) by 17.9% during the third quarter, Holdings Channel.com reports. The firm owned 3,868 shares of the medical technology company’s stock after selling 841 shares during t…",2024-11-27T09:12:56Z,https://www.etfdailynews.com/2024/11/27/intech-investment-management-llc-reduces-holdings-in-stryker-co-nysesyk/,"{'id': None, 'name': 'ETF Daily News'}"
"BWX Technologies, Inc. (NYSE:BWXT) Stake Increased by Advisors Asset Management Inc.","Advisors Asset Management Inc. boosted its holdings in shares of BWX Technologies, Inc. (NYSE:BWXT – Free Report) by 10.6% in the third quarter, according to its most recent filing with the Securities and Exchange Commission. The firm owned 6,673 shares of th…",2024-11-27T09:12:56Z,https://www.etfdailynews.com/2024/11/27/bwx-technologies-inc-nysebwxt-stake-increased-by-advisors-asset-management-inc/,"{'id': None, 'name': 'ETF Daily News'}"
Advisors Asset Management Inc. Cuts Stake in Spotify Technology S.A. (NYSE:SPOT),"Advisors Asset Management Inc. lessened its stake in Spotify Technology S.A. (NYSE:SPOT – Free Report) by 4.0% during the 3rd quarter, according to its most recent disclosure with the SEC. The institutional investor owned 2,219 shares of the company’s stock a…",2024-11-27T09:12:56Z,https://www.etfdailynews.com/2024/11/27/advisors-asset-management-inc-cuts-stake-in-spotify-technology-s-a-nysespot/,"{'id': None, 'name': 'ETF Daily News'}"
"Advisors Asset Management Inc. Purchases 9,112 Shares of JD.com, Inc. (NASDAQ:JD)","Advisors Asset Management Inc. increased its holdings in JD.com, Inc. (NASDAQ:JD – Free Report) by 85.4% during the 3rd quarter, according to its most recent Form 13F filing with the SEC. The fund owned 19,776 shares of the information services provider’s sto…",2024-11-27T09:12:54Z,https://www.etfdailynews.com/2024/11/27/advisors-asset-management-inc-purchases-9112-shares-of-jd-com-inc-nasdaqjd/,"{'id': None, 'name': 'ETF Daily News'}"
Advisors Asset Management Inc. Boosts Stake in IQVIA Holdings Inc. (NYSE:IQV),"Advisors Asset Management Inc. boosted its holdings in shares of IQVIA Holdings Inc. (NYSE:IQV – Free Report) by 74.3% in the 3rd quarter, according to the company in its most recent 13F filing with the Securities and Exchange Commission. The institutional in…",2024-11-27T09:12:54Z,https://www.etfdailynews.com/2024/11/27/advisors-asset-management-inc-boosts-stake-in-iqvia-holdings-inc-nyseiqv/,"{'id': None, 'name': 'ETF Daily News'}"
"Study: about 85% of US unicorn startups that have gone public were unprofitable in 2023, despite most having been founded more than fifteen years earlier","2 Scott D. Anthony, “Is Venture Capital Broken?,” Harvard Business Review, June 8, 2012; James Surowiecki, “What’s Wrong with Venture Capital?,” Technology Review, February 23, 2010.
3 James Ledbetter, “Venture Capital Is Broken—but Who Can Really Fix It?,” O…",2024-11-27T09:12:20Z,https://biztoc.com/x/5f5dc2f8e27b62e4,"{'id': None, 'name': 'Biztoc.com'}"
